"Penumbra Start Time (UTCG)","Umbra Start Time (UTCG)","Umbra Stop Time (UTCG)","Penumbra Stop Time (UTCG)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (UTCG)"
20 Sep 2030 18:29:13.320,20 Sep 2030 18:29:46.308,20 Sep 2030 21:31:23.043,20 Sep 2030 21:32:24.804,"Jupiter",10991.484,100.000000,20 Sep 2030 18:29:46.308
23 Sep 2030 16:33:24.054,23 Sep 2030 16:33:58.845,23 Sep 2030 19:40:38.126,23 Sep 2030 19:41:42.916,"Jupiter",11298.863,100.000000,23 Sep 2030 16:33:58.845
26 Sep 2030 14:37:58.612,26 Sep 2030 14:38:35.419,26 Sep 2030 17:50:01.415,26 Sep 2030 17:51:09.475,"Jupiter",11590.863,100.000000,26 Sep 2030 14:38:35.419
29 Sep 2030 12:43:00.052,29 Sep 2030 12:43:39.127,29 Sep 2030 15:59:29.721,29 Sep 2030 16:00:41.330,"Jupiter",11861.278,100.000000,29 Sep 2030 12:43:39.127
2 Oct 2030 10:48:32.017,2 Oct 2030 10:49:13.665,2 Oct 2030 14:08:59.049,2 Oct 2030 14:10:14.530,"Jupiter",12102.512,100.000000,2 Oct 2030 10:49:13.665
5 Oct 2030 08:54:38.896,5 Oct 2030 08:55:23.494,5 Oct 2030 12:18:24.391,5 Oct 2030 12:19:44.128,"Jupiter",12305.232,100.000000,5 Oct 2030 08:55:23.494
8 Oct 2030 07:01:26.062,8 Oct 2030 07:02:14.082,8 Oct 2030 10:27:39.470,8 Oct 2030 10:29:03.931,"Jupiter",12457.869,100.000000,8 Oct 2030 07:02:14.082
11 Oct 2030 05:09:00.196,11 Oct 2030 05:09:52.237,11 Oct 2030 08:36:36.359,11 Oct 2030 08:38:06.131,"Jupiter",12545.935,100.000000,11 Oct 2030 05:09:52.237
14 Oct 2030 03:17:29.790,14 Oct 2030 03:18:26.647,14 Oct 2030 06:45:04.919,14 Oct 2030 06:46:40.765,"Jupiter",12550.975,100.000000,14 Oct 2030 03:18:26.647
17 Oct 2030 01:27:05.919,17 Oct 2030 01:28:08.671,17 Oct 2030 04:52:51.965,17 Oct 2030 04:54:34.919,"Jupiter",12449.001,100.000000,17 Oct 2030 01:28:08.671
17 Oct 2030 03:41:23.166,N/A,N/A,17 Oct 2030 03:44:34.235,"Io",191.069,57.659002,17 Oct 2030 03:42:56.351
19 Oct 2030 23:38:03.523,19 Oct 2030 23:39:13.711,20 Oct 2030 02:59:39.861,20 Oct 2030 03:01:31.401,"Jupiter",12207.878,100.000000,19 Oct 2030 23:39:13.711
22 Oct 2030 21:50:43.745,22 Oct 2030 21:52:03.694,23 Oct 2030 01:05:03.981,23 Oct 2030 01:07:06.349,"Jupiter",11782.604,100.000000,22 Oct 2030 21:52:03.694
25 Oct 2030 20:05:38.463,25 Oct 2030 20:07:12.020,25 Oct 2030 23:08:27.762,25 Oct 2030 23:10:44.707,"Jupiter",11106.243,100.000000,25 Oct 2030 20:07:12.020
28 Oct 2030 18:23:40.907,28 Oct 2030 18:25:35.327,28 Oct 2030 21:08:50.838,28 Oct 2030 21:11:29.493,"Jupiter",10068.586,100.000000,28 Oct 2030 18:25:35.327
